region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,latitude,longitude
anchorage / mat-su,22500,2019,chevrolet,equinox ls awd,excellent,4 cylinders,gas,24842,clean,automatic,4wd,mid-size,SUV,green,ak,61.166353,-149.847206
anchorage / mat-su,44995,2019,toyota,tacoma trd off road 4x4,like new,6 cylinders,gas,21969,clean,automatic,4wd,full-size,truck,grey,ak,61.166252,-149.857916
anchorage / mat-su,31500,2021,toyota,rav4,like new,4 cylinders,gas,2500,lien,automatic,4wd,mid-size,SUV,silver,ak,61.1535,-149.8289
anchorage / mat-su,19900,2019,nissan,rogue sv,excellent,4 cylinders,gas,19291,lien,automatic,4wd,mid-size,SUV,silver,ak,61.188304,-149.907267
anchorage / mat-su,46999,2019,toyota,tundra sr5 crew max,like new,8 cylinders,gas,30063,clean,automatic,4wd,full-size,truck,black,ak,61.166353,-149.847206
anchorage / mat-su,55995,2019,ford,f-150,excellent,6 cylinders,gas,43881,clean,automatic,4wd,full-size,truck,white,ak,61.218092,-149.868987
anchorage / mat-su,45995,2020,jeep,gladiator,excellent,6 cylinders,gas,8246,clean,automatic,4wd,full-size,truck,silver,ak,61.218268,-149.869266
anchorage / mat-su,17999,2020,kia,soul lx,like new,4 cylinders,gas,8908,clean,automatic,fwd,mid-size,wagon,grey,ak,61.166353,-149.847206
anchorage / mat-su,27999,2019,chrysler,300 awd,excellent,6 cylinders,gas,38008,clean,automatic,4wd,full-size,sedan,grey,ak,61.166353,-149.847206
anchorage / mat-su,37750,2019,bmw,x3,excellent,4 cylinders,gas,14660,clean,automatic,4wd,mid-size,SUV,silver,ak,61.218299,-149.86918
anchorage / mat-su,37995,2020,bmw,330i,excellent,4 cylinders,gas,19120,clean,automatic,4wd,mid-size,sedan,black,ak,61.218299,-149.865918
anchorage / mat-su,116000,2019,ford,f350 diesels powerstroke,like new,8 cylinders,diesel,24000,lien,automatic,4wd,full-size,truck,white,ak,61.159766,-149.864256
anchorage / mat-su,19000,2019,subaru,legacy outback,like new,4 cylinders,gas,21700,salvage,automatic,4wd,mid-size,SUV,white,ak,33.8797,-117.5354
anchorage / mat-su,19900,2019,kia,sportage,excellent,4 cylinders,gas,33874,lien,automatic,4wd,mid-size,SUV,silver,ak,61.188325,-149.906795
anchorage / mat-su,44995,2019,toyota,tacoma trd off road 4x4,like new,6 cylinders,gas,21969,clean,automatic,4wd,full-size,truck,grey,ak,61.166252,-149.857916
anchorage / mat-su,4000,2019,subaru,legacy outback wagon,like new,4 cylinders,gas,21751,clean,automatic,4wd,mid-size,SUV,white,ak,33.8797,-117.5354
anchorage / mat-su,0,2021,chevrolet,traverse,new,6 cylinders,gas,19,clean,automatic,fwd,mid-size,SUV,black,ak,61.6303,-148.9872
anchorage / mat-su,17999,2020,kia,soul lx,like new,4 cylinders,gas,8908,clean,automatic,fwd,mid-size,wagon,grey,ak,61.166353,-149.847206
anchorage / mat-su,20999,2019,hyundai,tucson se awd,excellent,4 cylinders,gas,25120,clean,automatic,4wd,mid-size,SUV,white,ak,61.166353,-149.847206
anchorage / mat-su,27999,2019,chrysler,300 awd,excellent,6 cylinders,gas,38008,clean,automatic,4wd,full-size,sedan,grey,ak,61.166353,-149.847206
anchorage / mat-su,22500,2019,chevrolet,equinox ls awd,excellent,4 cylinders,gas,24842,clean,automatic,4wd,mid-size,SUV,green,ak,61.166353,-149.847206
anchorage / mat-su,24499,2019,buick,encore essence awd,like new,4 cylinders,gas,11695,clean,automatic,4wd,mid-size,SUV,white,ak,61.166353,-149.847206
anchorage / mat-su,39995,2020,acura,mdx,like new,6 cylinders,gas,10,clean,automatic,fwd,full-size,SUV,red,ak,61.21833,-149.868922
anchorage / mat-su,26995,2020,kia,sportage ex,excellent,4 cylinders,gas,6837,clean,automatic,4wd,full-size,SUV,blue,ak,61.218268,-149.868987
anchorage / mat-su,79900,2020,chrysler,pacifica touring l plus,new,6 cylinders,gas,10,clean,automatic,fwd,mid-size,mini-van,silver,ak,61.6303,-148.9872
anchorage / mat-su,41995,2020,subaru,wrx sti,excellent,4 cylinders,gas,1243,clean,manual,4wd,mid-size,sedan,blue,ak,61.218371,-149.869094
anchorage / mat-su,58500,2020,toyota,tundra,like new,8 cylinders,gas,7200,lien,automatic,4wd,full-size,truck,red,ak,61.1641,-149.9133
fairbanks,38999,2019,chevrolet,silverado 2500 hd 4x4,like new,8 cylinders,gas,9800,clean,automatic,4wd,full-size,truck,white,ak,64.830684,-147.715044
